['label', 'frame', 'conf', 'x0', 'y0', 'x1', 'y1']
['Car', 8414, 0.9302484, 356, 77, 392, 113]
['Car', 8589, 0.9321537, 354, 2, 378, 26]
['Car', 8700, 0.9272558, 396, 9, 424, 37]
['Car', 8656, 0.93561363, 389, 9, 408, 38]
['Car', 8203, 0.9241126, 436, 7, 458, 25]
['Car', 8795, 0.92805463, 420, 0, 443, 14]
['Car', 8520, 0.93994766, 319, 161, 384, 230]
['Car', 8466, 0.9232802, 356, 61, 391, 96]
['Car', 8258, 0.93627286, 419, 0, 440, 11]
['Car', 8625, 0.9216393, 397, 1, 429, 39]
['Van', 8161, 0.43667912, 92, 462, 351, 720]
['Truck', 8518, 0.8516063, 359, 30, 384, 51]
['Car', 8666, 0.937798, 386, 19, 407, 47]
['Car', 8252, 0.93694717, 396, 6, 420, 28]
['Car', 8669, 0.928949, 393, 1, 419, 22]
['Car', 8435, 0.9261095, 360, 30, 388, 59]
['Truck', 8285, 0.5667261, 391, 0, 414, 14]
['Car', 8109, 0.9198157, 407, 45, 437, 69]
['Truck', 8883, 0.48094642, 341, 22, 356, 38]
['Van', 8338, 0.4400412, 0, 494, 180, 719]
['Truck', 8372, 0.92717314, 420, 0, 439, 11]
['Car', 8569, 0.9410506, 567, 206, 637, 284]
['Car', 8397, 0.93046445, 362, 9, 386, 27]
['Car', 8510, 0.9307259, 517, 126, 566, 177]
['Car', 8478, 0.9258135, 361, 7, 384, 24]
['Truck', 8835, 0.9356696, 364, 5, 384, 22]
['Car', 8964, 0.9249783, 442, 15, 469, 40]
['Car', 8921, 0.92065966, 394, 1, 417, 17]
['Car', 8552, 0.91354394, 360, 0, 381, 17]
['Car', 8469, 0.9286323, 424, 1, 449, 21]
['Van', 8806, 0.83073956, 0, 494, 174, 719]
['Truck', 8199, 0.89600486, 396, 4, 420, 21]
['Car', 8219, 0.9027755, 402, 22, 434, 62]
['label', 'frame', 'conf', 'x0', 'y0', 'x1', 'y1']
['Car', 9100, 0.9241687, 379, 147, 423, 204]
['Car', 9072, 0.93751776, 361, 12, 383, 31]
['Van', 9054, 0.95057255, 395, 7, 418, 31]
['Car', 9021, 0.930699, 391, 0, 411, 14]
['Van', 9174, 0.947882, 436, 12, 462, 33]
['Van', 9059, 0.95056796, 396, 11, 420, 35]
